date,agegroup,are_covid19_incidence
2022-W12,05-14,696
2022-W12,15-34,1083
2022-W12,35-59,1164
2022-W12,60+,452
2022-W13,00+,751
2022-W13,00-04,310
2022-W13,05-14,457
2022-W13,15-34,950
2022-W13,35-59,1059
2022-W13,60+,403
2022-W14,00+,555
2022-W14,00-04,257
2022-W14,05-14,373
2022-W14,15-34,730
2022-W14,35-59,770
2022-W14,60+,278
2022-W15,00+,382
2022-W15,00-04,122
2022-W15,05-14,205
2022-W15,15-34,524
2022-W15,35-59,542
2022-W15,60+,186
2022-W16,00+,425
2022-W16,00-04,93
2022-W16,05-14,118
2022-W16,15-34,618
2022-W16,35-59,611
2022-W16,60+,211
2022-W17,00+,375
2022-W17,00-04,105
2022-W17,05-14,159
2022-W17,15-34,462
2022-W17,35-59,559
2022-W17,60+,206
2022-W18,00+,276
2022-W18,00-04,130
2022-W18,05-14,180
2022-W18,15-34,337
2022-W18,35-59,399
2022-W18,60+,139
2022-W19,00+,260
2022-W19,00-04,70
2022-W19,05-14,143
2022-W19,15-34,321
2022-W19,35-59,376
2022-W19,60+,146
2022-W20,00+,171
2022-W20,00-04,58
2022-W20,05-14,103
2022-W20,15-34,218
2022-W20,35-59,248
2022-W20,60+,86
2022-W21,00+,94
2022-W21,00-04,41
2022-W21,05-14,40
2022-W21,15-34,137
2022-W21,35-59,132
2022-W21,60+,43
2022-W22,00+,163
2022-W22,00-04,28
2022-W22,05-14,50
2022-W22,15-34,228
2022-W22,35-59,238
2022-W22,60+,82
2022-W23,00+,243
2022-W23,00-04,60
2022-W23,05-14,72
2022-W23,15-34,359
2022-W23,35-59,353
2022-W23,60+,108
2022-W24,00+,273
2022-W24,00-04,58
2022-W24,05-14,87
2022-W24,15-34,413
2022-W24,35-59,372
2022-W24,60+,144
2022-W25,00+,454
2022-W25,00-04,123
2022-W25,05-14,166
2022-W25,15-34,613
2022-W25,35-59,678
2022-W25,60+,213
2022-W26,00+,491
2022-W26,00-04,126
2022-W26,05-14,189
2022-W26,15-34,596
2022-W26,35-59,744
2022-W26,60+,270
2022-W27,00+,519
2022-W27,00-04,116
2022-W27,05-14,233
2022-W27,15-34,647
2022-W27,35-59,779
2022-W27,60+,272
2022-W28,00+,538
2022-W28,00-04,150
2022-W28,05-14,248
2022-W28,15-34,674
2022-W28,35-59,774
2022-W28,60+,311
2022-W29,00+,471
2022-W29,00-04,142
2022-W29,05-14,147
2022-W29,15-34,553
2022-W29,35-59,692
2022-W29,60+,307
2022-W30,00+,318
2022-W30,00-04,84
2022-W30,05-14,90
2022-W30,15-34,421
2022-W30,35-59,462
2022-W30,60+,178
2022-W31,00+,274
2022-W31,00-04,74
2022-W31,05-14,51
2022-W31,15-34,338
2022-W31,35-59,422
2022-W31,60+,154
2022-W32,00+,261
2022-W32,00-04,62
2022-W32,05-14,63
2022-W32,15-34,327
2022-W32,35-59,386
2022-W32,60+,159
2022-W33,00+,233
2022-W33,00-04,67
2022-W33,05-14,58
2022-W33,15-34,301
2022-W33,35-59,333
2022-W33,60+,146
2022-W34,00+,200
2022-W34,00-04,40
2022-W34,05-14,61
2022-W34,15-34,253
2022-W34,35-59,295
2022-W34,60+,117
2022-W35,00+,171
2022-W35,00-04,29
2022-W35,05-14,74
2022-W35,15-34,182
2022-W35,35-59,256
2022-W35,60+,116
2022-W36,00+,187
2022-W36,00-04,36
2022-W36,05-14,61
2022-W36,15-34,219
2022-W36,35-59,268
2022-W36,60+,131
2022-W37,00+,223
2022-W37,00-04,73
2022-W37,05-14,104
2022-W37,15-34,267
2022-W37,35-59,324
2022-W37,60+,133
2022-W38,00+,267
2022-W38,00-04,61
2022-W38,05-14,80
2022-W38,15-34,325
2022-W38,35-59,369
2022-W38,60+,194
2022-W39,00+,413
2022-W39,00-04,65
2022-W39,05-14,130
2022-W39,15-34,432
2022-W39,35-59,612
2022-W39,60+,312
2022-W40,00+,542
2022-W40,00-04,66
2022-W40,05-14,83
2022-W40,15-34,559
2022-W40,35-59,819
2022-W40,60+,428
2022-W41,00+,548
2022-W41,00-04,78
2022-W41,05-14,72
2022-W41,15-34,555
2022-W41,35-59,809
2022-W41,60+,462
2022-W42,00+,430
2022-W42,00-04,58
2022-W42,05-14,66
2022-W42,15-34,432
2022-W42,35-59,626
2022-W42,60+,375
